Ticker,Name,Exchange
^NQDK8000AUDT,NASDAQ Denmark Financials AUD T,NIM
WIEBLOCS7530.FGI,FTSE EB-ELECTRICITY,FGI
^NQDM5000LMEUR,NASDAQ DM Cnsmr Svcs Lg Md Cap ,NIM
31766451.SG,JPMCBJPMIKPAC,STU
^DJUSVA,Dow Jones U.S. Value Index,DJI
^NQUSL0001AUDN,NQ US Lg Cap Oil & Gas AUD NTR ,NIM
^R25RGSHCT,Russell 2500 Health Care Index ,WCB
^NQCI2HSTR,NASDAQ Commodity 2nd Hold Soybe,NIM
^NQASPA8600AUDN,NASDAQ ASPA Real Estate AUD NTR,NIM
^SPUSERPP,S&P US Equity Risk Premium Inde,SNP
^NQUSL5757CADN,NQ US Lg Cap Restaurants & Bars,NIM
^NQEM3500EURT,NASDAQ Emerging Food & Beverage,NIM
Q500.FGI,FTSE NASDAQ 500,FGI
^NQUSB5753CAD,NQ US Bnchmk Hotels CAD Index,NIM
^NQDMEU0001JPY,NASDAQ DM Europe Oil & Gas JPY ,NIM
^NQUSL1000AUD,NQ US Lg Cap Basic Matls AUD In,NIM
^NQHUAUDN,NASDAQ Hungary AUD NTR Index,NIM
22404030.DE,INAVCONTEURUCGBP,GER
^DBODIX,DBLC OPTIMUM YIELD OIL EX RETUR,NYS
WIKOR0530.L,FTSE KOR-OIL & GAS,FSI
^BKCNCHTR,BNY Mellon China Select ADR Tot,SNP
^HX1700GI,HX1700GI/OMXH INDEX,HEL
000033.SS,SSE Materials Sector Index,SHH
D8TP.DE,INAVISHPGOLDETCCHF,GER
^NQHK5000LMEURN,NASDAQ Hong Kong Cnsmr Svcs Lg ,NIM
31792148.SG,MERLYNCH G INV USD,STU
^CTWCER5Y,UBS Bloomberg CMCI Components W,WCB
LZPV.DE,INAV DB X-T DBLCI,GER
IINDO.PA,LYXOR INDO INAV,PAR
000926.SS,CSI Central State-owned Enterpr,SHH
^NQBRIC6000JPY,NASDAQ BRIC Telecom JPY Index,NIM
^HX3530PI,HX3530PI/OMXH INDEX,HEL
S71IDY.SW,SBI CORP IND DOM Y,EBS
^NQGBLM,NASDAQ UK Large Mid Cap Index,NIM
WORLDS7570.FGI,FTSE WLD-GAS WATER,FGI
^SGEPVQBU,SGI US Value Quality Index,SNP
NAOIN.NX,NY.ALT.OSEO NR INX,ENX
SBR2Y.SW,SBI AA Y,EBS
^NQUSB8676EURT,NQ US Bnchmk Mortgage REITs EUR,NIM
^RCI,Dow Jones Composite All REIT In,DJI
^NQDMEU8300LMT,NASDAQ DM Europe Banks Large Mi,NIM
^NQNZLMCAD,NASDAQ New Zealand Large Mid Ca,NIM
^NQLA4000LMGBPN,NASDAQ Lat Am Health Care Lg Md,NIM
^NQDMXNAXKRMCGBP,Nasdaq DM Ex NA Ex Korea Mid Ca,NIM
^TWMDVP,TWM Deep Value Index,SNP
^NQUSB6530LMCADT,NQ US  Fixed Line Telecom Lg Md,NIM
^NQUSS2713AUD,NQ US Sm Cap Aerospace AUD Inde,NIM
^NQSE2000EURT,NASDAQ Sweden Inds EUR TR Index,NIM
^NQGB5500LMJPY,NASDAQ UK Media Large Mid Cap J,NIM
IPC40.NX,COMSTAGE PC40,ENX
^NQG7000CADN,NASDAQ Global Utilities CAD NTR,NIM
^NQUSS2797T,NQ US Sm Cap Ind Suppliers TR I,NIM
WIXJAS8630.FGI,FTSE XJA - REIS,FGI
^NQKR5000LMJPY,NASDAQ Korea Cnsmr Svcs Lg Md C,NIM
WICAN4570.FGI,FTSE CAN-PHARMACEUT,FGI
IEMLA.PA,SPDR EMLA VLI,PAR
^CRSPLCVT,CRSP US Large Cap Value TR Inde,NIM
X2DR.DE,INAVDAXUCITCHF,GER
^NQUSL5379AUD,NQ US Lg Cap Specialty Rtlrs AU,NIM
NLGFG.NX,AEX FINAN SERV GR,ENX
WIXUKS5330.FGI,FTSE XUK - FOODDRUG,FGI
SD3JP.Z,ESTXSD30 JPY P,ZRH
IHCAN.PA,HSBC MS.CANADA INAV,PAR
^NQFRLMN,NASDAQ France Large Mid Cap NTR,NIM
^SPVXTRSP,S&P 500 VIX FUTURES TAIL RISK E,SNP
^BKDKITT,BNY Mellon KIT DR Total Return ,SNP
^DWLID,,DJI
EB7500.FGI,FTSEURO EURO UTILIT,FGI
INPEU.PA,PWSHARES PEU INAV,PAR
31560259.SG,WISTRDYLSUSEQEUR,STU
10450844.SW,PACI EN,EBS
^NQUSS2717CADT,NQ US Sm Cap Defense CAD TR Ind,NIM
^NQUSB8536LMEURT,NQ US  Property & Casualty Ins ,NIM
WIDEU3350.FGI,FTSE DEU-AUTO & PAR,FGI
WIDEU2770.L,FTSE DEU-TRANSPORT,FSI
^YHOH778,,
^NQCI3HCER,NASDAQ Commodity 3rd Hold Corn ,NIM
^NQPL8000EURT,NASDAQ Poland Financials EUR TR,NIM
IFXGD.NX,FINEX FXGD,ENX
^NQUSB3000JPYT,NQ US Bnchmk Cnsmr Goods JPY TR,NIM
^SPY1,SPDR S&P 500 Low Volatility UCI,NIM
^NQGB3500JPYN,NASDAQ UK Food & Beverage JPY N,NIM
^BKGIN,BNY Mellon India GDR Index,SNP
^B50DRR,Dow Jones BRIC 50 DR Total Retu,DJI
^DWCBLD,Dow Jones U.S. Building Materia,DJI
^NQDMXNAXKRCADT,Nasdaq DM Ex NA Ex Korea CAD TR,NIM
34XX.Z,STXE6OPTCHE USDP,ZRH
31556803.SG,HFRL GLOBAL INDEX,STU
^NQUSL2700JPY,NQ US Lg Cap Ind Goods & Svcs J,NIM
XEVW.DE,INAV DBXT SPCNX USD,GER
^RDXUSTRUSD,Russell Developed ex-US SC Tota,WCB
ZK2L.DE,SHORTDAX X9 (PR)EUR,GER
^NQUSB3722JPY,NQ US Bnchmk Durable Hhld Produ,NIM
^DJUSTCT,Dow Jones U.S. Technology Total,DJI
NLSCG.NX,AEX SOFT & C S GR,ENX
^AXTJ,S&P/ASX 200 Telecomms,ASX
OSE55GI.OL,OSE55 UTILITIES,OSL
^NQCZT,NASDAQ Czech Republic TR Index,NIM
899H.Z,STXMD EUR P,ZRH
^NQEM5000T,NASDAQ Emerging Cnsmr Svcs TR I,NIM
^NQEM3300EUR,NASDAQ Emerging Auto & Parts EU,NIM
^NQHK3000HKDN,NASDAQ Hong Kong Cnsmr Goods HK,NIM
^DJFEAS50,Dow Jones FEAS Titans 50 Equal ,DJI
WIPOL5550.FGI,FTSE POLAND,FGI
SXEA223L.Z,STXEA18USDCS&MATP,ZRH
RNEIUAE.FGI,FTSE EP NAR EM UAE,FGI
RNNXG.L,FTSE E/N GL NRN-TR,FSI
^REMMLVUSD,Russell Emerging Mkts LC Value,WCB
^NQHK2000N,NASDAQ Hong Kong Inds NTR Index,NIM
^YHOH732,,
^BKART,BNY Mellon Argentina ADR Total ,SNP
^NQUSB0587EUR,NQ US Bnchmk Alternative Fuels ,NIM
^RUEZ40UP,Chi-X Europe Russell  Eurozone4,WCB
CACTN.NX,CAC ALL TRADABLE TR,ENX
^NQBRIC2000LMJPYT,NASDAQ BRIC Inds Large Mid Cap ,NIM
^NQNALCAUD,NASDAQ N America Large Cap AUD ,NIM
19256462.SG,HORIZONS EN TNR USD,STU
^NQUSM0533AUDN,NQ US Md Cap Explrtn & Prdctn A,NIM
^NQDMEU1000EURN,NASDAQ DM Europe Basic Matls EU,NIM
07UD.Z,STXEMTMMID USD P,ZRH
^NQDMASPA4000LMGB,NASDAQ DM ASPA Health Care Lg M,NIM
^NQUSB2753CAD,NQ US Bnchmk Comml Vehicles & T,NIM
23633120.SG,DEUTSCH ETH30I EUR,STU
^YHOH844,,
^TPOILUT,RBS OIL TRENDPILOT INDEX,NYS
WISWE2000.L,FTSE SWE GEN IND,FSI
^SP2KCGUP,S&P Korea Corporate Group Index,SNP
^NQCN4000LMEURN,NASDAQ China Health Care Lg Md ,NIM
3LER.DE,DB EUROGOV 3 PR EU,GER
WIXEBS3530.L,FTSE XEB-BEVERAGES,FSI
^NQUSB1775N,NQ US Bnchmk General Mining NTR,NIM
^NQUSL4530GBPT,NQ US Lg Cap Health Care Eqpt &,NIM
^NQDMASPA0001T,NASDAQ DM ASPA Oil & Gas TR Ind,NIM
^HX4530PI,HX4530PI/OMXH INDEX,HEL
^DWHKD,Dow Jones Hong Kong Total Stock,DJI
WIKOR5750.L,FTSE KOR - LEISURE,FSI
^NQUSS8777GBPT,NQ US Sm Cap Inv Svcs GBP TR In,NIM
^NQEMKRLCCADT,Nasdaq EM Plus Korea Large Cap ,NIM
31549650.SG,CROCIREWUSMUSDNR,STU
^NQSG8000GBPN,NASDAQ Singapore Financials GBP,NIM
^NQASPA5000EUR,NASDAQ ASPA Cnsmr Svcs EUR Inde,NIM
^NQTH7000THBT,NASDAQ Thailand Utilities THB T,NIM
^SPBDU10T,S&P / BG Cantor 7 10 Year U.S. ,SNP
^TWLV5,CBOE 5th VIX Futures Mid-Mornin,WCB
^SPSPV,S&P600/ CITI GROUP PURE VALUE,NYS
STA77Y.SW,SBI AAA-A 7+ Y,EBS
^NQBR3000LMAUD,NASDAQ Brazil Cnsmr Goods Lg Md,NIM
IHCAN.NX,HSBC MS.CANADA INAV,ENX
INDU.MC,IBEX 35 X5AP NET,MCE
^NQEMASIA4000JPY,NASDAQ EM Asia Health Care JPY ,NIM
^NQUSL3700CAD,NQ US Lg Cap Psnl & Hhld Goods ,NIM
^NQG5700LMGBP,NASDAQ Global Travel & Leisure ,NIM
^NQUSL9576AUDT,NQ US Lg Cap Semiconductors AUD,NIM
^NQKRMCAUD,NASDAQ Korea Mid Cap AUD Index,NIM
^SPVSAIZP,S&P GIVI South Africa Industria,SNP
^NQUSS2797AUD,NQ US Sm Cap Ind Suppliers AUD ,NIM
NLTEC.AS,AEX TECHNOLOGY,AMS
WIBRA1770.L,FTSE BRA-MINING,FSI
WIGBR3720.L,FTSE GBR - HOUSGOOD,FSI
31548747.SG,F5XLOHSBCBRCRUFUTU,STU
DQAT.FGI,FTSE DIFX - QATAR10,FGI
^NQUSL3570GBPT,NQ US Lg Cap Food Producers GBP,NIM
^NQEU0001LM,NASDAQ Europe Oil & Gas Large M,NIM
^DWCGWM,Dow Jones U.S. Gas Water & Mult,DJI
ST77T.SW,SBI AAA-BBB 7+ T,EBS
IPNIK.PA,COMSTAGE PNIK,PAR
^SPTSEM,S&P/TSX Completion Index,TSI
IEAGG.NX,SPDR EAGG VLI,ENX
^NQEMMEA8300GBP,NASDAQ EM MEA Banks GBP Index,NIM
^NQEG,NASDAQ Egypt Index,NIM
INANX.NX,AM.ETF NAS.100 VLI,ENX
^NQUSB3767LMGBP,NQ US  Psnl Products Large Mid ,NIM
^NQKR9000LMGBPN,NASDAQ Korea Tech Large Mid Cap,NIM
^NQBE1000JPYT,NASDAQ Belgium Basic Matls JPY ,NIM
