Ticker,Name,Exchange
CNYAUD=X,CNY/AUD,CCY
EOYN.F,EUR/JPY FIXING,FRA
GBPXAF=X,GBP/XAF,CCY
LKRPLN=X,LKR/PLN,CCY
TRYQAR=X,TRY/QAR,CCY
EUR-XPF.F,EUR/XPF,FRA
PLNBMD=X,PLN/BMD,CCY
ILSINR=X,ILS/INR,CCY
GBPDOP=X,GBP/DOP,CCY
EURCHF=X,EUR/CHF,CCY
GHSILS=X,GHS/ILS,CCY
EUR-JOD.F,EUR/JOD,FRA
KWDMAD=X,KWD/MAD,CCY
AUDUYU=X,AUD/UYU,CCY
VUVMUR=X,VUV/MUR,CCY
SGDUSD=X,SGD/USD,CCY
LTLSEK=X,LTL/SEK,CCY
RONCNY=X,RON/CNY,CCY
AUDTMT=X,AUD/TMT,CCY
ARS=X,USD/ARS,CCY
NOKAED=X,NOK/AED,CCY
RUBCHF=X,RUB/CHF,CCY
HF42.EX,STURM FL 40BN 12,EUX
SARTND=X,SAR/TND,CCY
19662920.SW,SILVER COINS 1/4 UZ,EBS
PLNRSD=X,PLN/RSD,CCY
EUR-BND.F,EUR/BND,FRA
CZKTHB=X,CZK/THB,CCY
SARINR=X,SAR/INR,CCY
TNDTRY=X,TND/TRY,CCY
JODHKD=X,JOD/HKD,CCY
VUV=X,USD/VUV,CCY
LSL=X,USD/LSL,CCY
DZDUSD=X,DZD/USD,CCY
EURDKKFIX=X,,
EGPTWD=X,EGP/TWD,CCY
OMRJPY=X,OMR/JPY,CCY
CHGLE.SW,GLEICH VORT.,EBS
CLFEUR=X,CLF/EUR,CCY
LVLCHF=X,LVL/CHF,CCY
CADZMW=X,CAD/ZMW,CCY
CZKGBP=X,CZK/GBP,CCY
MVREUR=X,MVR/EUR,CCY
PLNKES=X,PLN/KES,CCY
THBAED=X,THB/AED,CCY
AUDMOP=X,AUD/MOP,CCY
PENPYG=X,PEN/PYG,CCY
CADTHB=X,CAD/THB,CCY
MGA=X,USD/MGA,CCY
EUR-TRY.F,EUR/TRY,FRA
THBUSD=X,THB/USD,CCY
HKDUGX=X,HKD/UGX,CCY
DJFCHF=X,DJF/CHF,CCY
JPYCZK=X,JPY/CZK,CCY
PHPPKR=X,PHP/PKR,CCY
BDTHKD=X,BDT/HKD,CCY
OMRCAD=X,OMR/CAD,CCY
19752571.SW,GOLD 999.9/1000    ,EBS
